key,GroupCount,Score_mean,Corr_mean,MAE_mean,RMSE_mean,Nuse_mean
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2.5Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2.5Hz,ord6,used256) | N=32 | hop=16 | harm=0(max3,r0.2)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2.5Hz,ord6,used256) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.2)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2Hz,ord6,used256) | N=32 | hop=16 | harm=0(max3,r0.2)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-2Hz,ord6,used256) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-3.5Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.2)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-3.5Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-3Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.2)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(1.2-3Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)",3,-1.10388653981744,-0.0159162020009659,11.9620010334598,14.6961085843046,2975.33333333333
"wrap=0 | pre=movmedian2s | flt=firpm(0.6-2.5Hz,ord2,used64) | N=32 | hop=16 | harm=1(max3,r0.5)",3,-1.14143230328578,0.0128494006181433,13.1694028475557,14.8743468457841,2975.33333333333
