run,dataset,wrap,preproc,filter_type,wi,wf,ordFinal,ordUsed,N,hop,harm,harm_max,harm_ratio,MAE,RMSE,Corr,Score,Nuse,key
54,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,8,0,3,0.5,15.5574550562781,16.3670114094292,-0.143476212852995,-1.46691601264787,2894,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=8 | harm=0(max3,r0.5)"
55,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,8,1,3,0.2,18.1831285172061,18.6732412645403,0.0119123653149579,-1.51968543603002,2894,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.2)"
56,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,32,8,1,3,0.5,17.2487170755169,17.8473075442664,-0.0363538551205572,-1.49369996037195,2894,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)"
57,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,32,0,3,0.2,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.2)"
58,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,32,0,3,0.5,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.5)"
59,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,32,1,3,0.2,53.4687033921569,53.6577376128102,-0.0972544910025415,-4.55928091437073,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.2)"
60,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,32,1,3,0.5,52.579833749722,52.8408647290951,-0.0219858814696914,-4.4123397265923,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.5)"
61,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,16,0,3,0.2,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.2)"
62,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,16,0,3,0.5,50.4651737028455,50.8253197544911,-0.0583760939525688,-4.27581210424455,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=16 | harm=0(max3,r0.5)"
63,POLARH3 x phases_raw,0,none,firpm,0.6,3,2,64,64,16,1,3,0.2,53.2981187715096,53.4833028796387,-0.212652958475369,-4.66033565970547,2878,"wrap=0 | pre=none | flt=firpm(0.6-3Hz,ord2,used64) | N=64 | hop=16 | harm=1(max3,r0.2)"
