wavelet,vpo,lambda_hz2,harm_ratio,median_sec,mean_sec,fill_nan,Corr,MAE,RMSE,Bias,Coverage,Score,nPoints
morse,24,650,0.8,4,128,0,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
morse,24,650,0.8,4,128,1,0.361220701192796,4.85792862259176,6.03481637209279,-3.9896579842021,1,35.0563575874248,3010
morse,32,200,0.7,4,128,0,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,32,200,0.7,4,128,1,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,32,300,0.7,4,128,0,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,32,300,0.7,4,128,1,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,32,650,0.7,4,128,0,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,32,650,0.7,4,128,1,0.37916850826335,6.27419389875675,7.42006081897133,-5.8943411929977,1,35.0190337644041,3010
morse,12,200,0.7,1,128,0,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,12,200,0.7,1,128,1,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,12,300,0.7,1,128,0,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,12,300,0.7,1,128,1,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,12,650,0.7,1,128,0,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,12,650,0.7,1,128,1,0.384279128389555,7.52647258483075,8.5918843192524,-7.344445932943,1,33.7947801254564,3010
morse,24,200,0.7,1,128,0,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,24,200,0.7,1,128,1,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,24,300,0.7,1,128,0,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,24,300,0.7,1,128,1,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,24,650,0.7,1,128,0,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,24,650,0.7,1,128,1,0.384279128389555,7.52647258483077,8.59188431925242,-7.34444593294302,1,33.7947801254564,3010
morse,12,200,0.7,0.5,128,0,0.378210210182165,7.12984138088143,8.21361780136801,-6.89010872567481,1,33.6546332610924,3010
morse,12,200,0.7,0.5,128,1,0.378210210182165,7.12984138088143,8.21361780136801,-6.89010872567481,1,33.6546332610924,3010
morse,12,300,0.7,0.5,128,0,0.378210210182165,7.12984138088143,8.21361780136801,-6.89010872567481,1,33.6546332610924,3010
morse,12,300,0.7,0.5,128,1,0.378210210182165,7.12984138088143,8.21361780136801,-6.89010872567481,1,33.6546332610924,3010
