dt_seconds,value
43.004878,17.00
44.499339,22.00
47.345498,24.00
48.973131,28.00
55.197808,22.00
58.759854,20.00
# --- NOVO DATASET 2025-11-17 15:50:15 ---
1.672944,17.00
3.362802,20.00
9.877543,21.00
22.065173,17.00
# --- NOVO DATASET 2025-11-17 16:32:48 ---
0.000000,19.00
5.188929,22.00
7.873660,25.00
12.336120,19.00
29.267980,17.00
# --- NOVO DATASET 2025-11-17 16:34:50 ---
0.821140,18.00
2.934152,23.00
# --- NOVO DATASET 2025-11-17 16:36:42 ---
0.000000,28.00
3.795971,23.00
17.101518,16.00
21.581456,18.00
28.979890,20.00
37.856606,14.00
47.490975,17.00
51.846486,18.00
56.737544,21.00
63.853917,25.00
74.488774,22.00
81.111237,20.00
83.809764,19.00
88.270220,17.00
92.670750,20.00
101.465376,19.00
111.901336,16.00
125.893489,20.00
129.951788,18.00
138.723296,16.00
142.488102,19.00
148.544681,24.00
157.323158,16.00
166.643725,17.00
168.801131,20.00
178.738057,15.00
187.563810,12.00
190.451594,14.00
203.763198,16.00
208.380181,22.00
229.807150,20.00
235.535550,18.00
243.012086,23.00
247.329107,28.00
249.344547,27.00
260.685337,25.00
263.328714,24.00
270.360308,18.00
281.558830,18.00
# --- NOVO DATASET 2025-11-17 16:57:20 ---
# --- NOVO DATASET 2025-11-17 16:58:04 ---
# --- NOVO DATASET 2025-11-17 16:58:45 ---
# --- NOVO DATASET 2025-11-17 16:59:37 ---
# --- NOVO DATASET 2025-11-17 17:00:50 ---
0.000000,57.00
17.069633,25.00
18.590072,27.00
24.807198,22.00
# --- NOVO DATASET 2025-11-17 17:22:18 ---
21.524669,24.00
23.393199,23.00
30.521793,26.00
# --- NOVO DATASET 2025-11-17 17:26:27 ---
14.741926,15.00
16.449094,16.00
18.465462,17.00
35.488965,16.00
41.695737,15.00
72.254665,17.00
74.202388,21.00
86.502808,19.00
91.034010,17.00
93.467509,19.00
107.542484,14.00
112.323637,16.00
114.745655,17.00
117.444651,24.00
129.726417,19.00
148.212083,19.00
151.826466,20.00
155.725360,23.00
164.393774,27.00
172.389414,19.00
186.407673,31.00
196.456340,19.00
202.744474,12.00
204.552570,18.00
206.855809,23.00
208.902454,27.00
210.531777,30.00
213.902722,25.00
215.487273,27.00
229.455526,23.00
238.948749,18.00
241.896331,27.00
250.698465,20.00
253.264705,16.00
259.552332,19.00
262.419714,20.00
281.023078,19.00
286.262665,18.00
