# --- NOVO DATASET 2026-01-15 12:57:29 ---
49099,-5.18,1.67,0.13,0.00
49119,-5.19,1.59,0.23,0.00
49139,-5.22,1.52,0.33,0.00
49159,-5.27,1.44,0.41,0.00
49179,-5.34,1.37,0.47,0.00
49199,-5.37,1.29,0.49,0.00
49219,-5.33,1.22,0.48,0.00
49239,-5.23,1.14,0.43,0.00
49259,-5.13,1.07,0.36,0.00
49279,-5.11,0.99,0.25,0.00
49299,-5.10,0.92,0.13,0.00
49319,-5.08,0.85,0.01,0.00
49339,-5.08,0.78,-0.11,0.00
49359,-5.10,0.71,-0.21,0.00
49379,-5.17,0.64,-0.30,0.00
49399,-5.26,0.57,-0.36,0.00
49419,-5.41,0.50,-0.40,0.00
49439,-5.59,0.44,-0.41,0.00
49459,-5.70,0.37,-0.42,0.00
49479,-5.66,0.31,-0.41,0.00
49499,-5.57,0.25,-0.40,0.00
49519,-5.51,0.18,-0.39,0.00
49539,-5.55,0.12,-0.38,0.00
49559,-5.69,0.06,-0.37,0.00
49579,-3.78,0.01,-0.36,0.00
49599,-3.99,-0.05,-0.35,0.00
49619,-4.20,-0.10,-0.32,0.00
49639,-4.34,-0.14,-0.28,0.00
49659,-4.37,-0.19,-0.21,0.00
49679,-4.33,-0.23,-0.12,0.00
49699,-4.22,-0.27,-0.01,0.00
49719,-4.06,-0.30,0.10,0.00
49739,-3.93,-0.33,0.21,0.00
49759,-3.90,-0.36,0.30,0.00
49779,-3.91,-0.39,0.36,0.00
49799,-3.92,-0.41,0.39,0.00
49819,-3.90,-0.43,0.38,0.00
49839,-3.84,-0.45,0.34,0.00
49859,-3.73,-0.46,0.27,0.00
49879,-3.60,-0.47,0.18,0.00
49899,-3.53,-0.48,0.08,0.00
49919,-3.54,-0.49,-0.02,0.00
49939,-3.62,-0.49,-0.11,0.00
49959,-3.74,-0.49,-0.18,0.00
49979,-3.83,-0.49,-0.22,0.00
49999,-3.80,-0.49,-0.24,0.00
50019,-3.69,-0.49,-0.24,0.00
50039,-3.61,-0.49,-0.21,0.00
50059,-3.62,-0.48,-0.16,0.00
50079,-3.61,-0.47,-0.11,0.00
50099,-3.57,-0.47,-0.06,0.00
50119,-3.54,-0.46,0.00,0.00
50139,-3.57,-0.45,0.05,0.00
50159,-3.57,-0.44,0.10,0.00
50179,-3.49,-0.43,0.13,0.00
50199,-3.40,-0.41,0.16,0.00
50219,-3.37,-0.40,0.18,0.00
50239,-3.35,-0.39,0.19,0.00
50259,-3.36,-0.38,0.20,0.00
50279,-3.44,-0.37,0.20,0.00
50299,-3.60,-0.35,0.20,0.00
50319,-3.79,-0.34,0.20,0.00
50339,-3.95,-0.33,0.19,0.00
50359,-4.02,-0.32,0.17,0.00
50379,-4.05,-0.31,0.15,0.00
50399,-4.09,-0.30,0.12,0.00
50419,-4.12,-0.30,0.08,0.00
50439,-4.13,-0.29,0.03,0.00
50459,-4.15,-0.29,-0.02,0.00
50479,-4.14,-0.29,-0.07,0.00
50499,-4.10,-0.29,-0.12,0.00
50519,-4.01,-0.29,-0.15,0.00
50539,-3.93,-0.29,-0.17,0.00
50559,-3.90,-0.30,-0.18,0.00
50579,-3.88,-0.30,-0.16,0.00
50599,-3.90,-0.31,-0.13,0.00
50619,-3.92,-0.31,-0.09,0.00
50639,-3.93,-0.32,-0.03,0.00
50659,-3.97,-0.33,0.03,0.00
50679,-4.05,-0.34,0.08,0.00
50699,-4.14,-0.35,0.12,0.00
50719,-4.21,-0.36,0.15,0.00
50739,-4.24,-0.38,0.16,0.00
50759,-4.15,-0.39,0.15,0.00
50779,-4.04,-0.41,0.12,0.00
50799,-4.06,-0.42,0.07,0.00
50819,-4.20,-0.44,0.01,0.00
50839,-4.26,-0.46,-0.06,0.00
50859,-4.23,-0.47,-0.12,0.00
50879,-4.14,-0.49,-0.17,0.00
50899,-4.08,-0.51,-0.21,0.00
50919,-3.95,-0.53,-0.24,0.00
50939,-3.79,-0.55,-0.24,0.00
50959,-3.71,-0.57,-0.23,0.00
50979,-3.75,-0.59,-0.20,0.00
50999,-3.84,-0.61,-0.15,0.00
51019,-3.94,-0.63,-0.09,0.00
51039,-4.08,-0.64,-0.04,0.00
51059,-4.21,-0.66,0.02,0.00
