dt_seconds,value
270.895535,73.00
271.862126,71.00
272.476539,75.00
273.092614,73.00
276.536297,75.00
277.826214,69.00
278.686574,71.00
279.125360,75.00
280.294417,73.00
280.841472,76.00
281.524422,78.00
283.862901,81.00
285.060692,76.00
285.906826,75.00
286.623583,76.00
287.555665,75.00
287.946369,76.00
289.863503,81.00
291.386122,78.00
292.206381,81.00
293.012004,78.00
294.471564,81.00
296.564832,85.00
299.256310,83.00
300.617424,81.00
301.338096,78.00
# --- NOVO DATASET 2025-11-12 18:22:04 ---
2.554200,111.00
3.541505,100.00
4.352550,93.00
5.203665,85.00
5.814703,81.00
6.420641,76.00
7.504518,75.00
8.338426,73.00
9.552970,76.00
11.236546,75.00
11.887448,73.00
12.434973,76.00
13.104136,78.00
19.436009,76.00
# --- NOVO DATASET 2025-11-12 18:22:50 ---
0.001003,78.00
0.002323,78.00
0.002796,76.00
0.003611,78.00
0.488130,76.00
1.534293,78.00
6.102782,75.00
7.170593,71.00
8.433240,75.00
10.667129,76.00
# --- NOVO DATASET 2025-11-12 18:23:11 ---
0.000941,71.00
0.001340,69.00
0.002307,71.00
0.003137,73.00
0.003663,75.00
0.881467,73.00
2.066009,75.00
3.122120,73.00
6.366261,76.00
9.013143,75.00
10.180821,76.00
10.947974,75.00
11.664224,78.00
13.420700,76.00
15.162434,75.00
17.359365,78.00
18.148842,76.00
18.640990,78.00
20.061832,83.00
21.677779,81.00
22.713770,83.00
23.878354,78.00
24.317911,81.00
24.880451,85.00
25.982218,83.00
27.855047,81.00
28.896649,78.00
31.188896,76.00
32.014139,78.00
33.398358,73.00
34.663605,75.00
35.897080,73.00
36.496723,76.00
37.230364,75.00
37.659910,76.00
39.630961,75.00
40.612369,76.00
41.662823,75.00
42.147019,78.00
43.081049,76.00
44.364501,78.00
44.784909,85.00
45.845805,83.00
47.726919,81.00
50.519347,75.00
51.128445,78.00
51.681328,81.00
52.231227,83.00
52.846957,88.00
54.436734,85.00
55.530082,83.00
56.280787,81.00
57.112460,78.00
60.618181,81.00
61.862998,85.00
62.895302,83.00
63.945321,78.00
64.877987,81.00
65.528976,78.00
66.356099,81.00
67.078383,83.00
67.678947,85.00
69.862033,88.00
70.812896,85.00
73.978648,88.00
74.746027,90.00
75.361740,88.00
76.744114,85.00
79.373930,83.00
81.721351,81.00
82.191162,85.00
82.742907,88.00
83.305803,85.00
84.763035,83.00
86.144612,85.00
87.656976,78.00
88.576662,76.00
89.123435,78.00
89.744041,81.00
91.110442,83.00
93.126897,85.00
93.845125,83.00
94.611929,81.00
96.922688,78.00
98.623103,76.00
99.692990,81.00
101.495856,78.00
102.244222,76.00
104.257409,78.00
107.905447,76.00
109.112133,78.00
111.158084,76.00
126.004348,73.00
126.844173,71.00
128.465150,73.00
130.033413,75.00
131.521865,78.00
132.572081,76.00
133.558208,75.00
134.878506,76.00
136.207826,78.00
137.526059,73.00
137.948696,75.00
138.674059,76.00
140.742939,78.00
142.092425,81.00
144.125427,83.00
144.725090,88.00
146.257448,85.00
148.078538,81.00
148.674349,88.00
149.225524,85.00
150.225523,83.00
150.759591,85.00
153.005699,83.00
153.553116,85.00
154.273628,83.00
156.225106,81.00
156.990684,78.00
157.994655,83.00
159.173341,88.00
